Question Number,Module number,Module name,Section,2024 Question,Integrated,Environmental issues covered,Sector,Public authorities,Supply chain only,Climate change,2023 Climate change question number,Forests change,2023 Forests question number,Water change,2023 Water Security question number,Integration,Alignment with IFRS S2,Alignment with other standard or framework,General improvement,Notes for changes,IFRS-S2,TNFD,ESRS,AFi
7.50,7,Environmental Performance – Climate Change,Intensity Metrics,Provide primary intensity metrics that are appropriate to your indirect emissions in Scope 3 Category 11: Use of sold products from transport.,No,Climate Change,TO,No,No,No change,C-TO7.8,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.51,7,Environmental Performance – Climate Change,Intensity Metrics,"What are your primary intensity (activity-based) metrics that are appropriate to your emissions from transport activities in Scope 1, 2, and 3?",No,Climate Change,TS,No,No,No change,C-TS6.15,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.52,7,Environmental Performance – Climate Change,Other Climate-Related Metrics,Provide any additional climate-related metrics relevant to your business.,No,Climate Change,All sectors,Yes,No,No change,C9.1,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.53,7,Environmental Performance – Climate Change,Targets,Did you have an emissions target that was active in the reporting year?,No,Climate Change,All sectors,Yes,No,No change,C4.1,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.53.1,7,Environmental Performance – Climate Change,Targets,Provide details of your absolute emissions targets and progress made against those targets.,No,Climate Change,All sectors,Yes,No,Modified question,C4.1a,n/a,n/a,n/a,n/a,No,Yes,Yes,Yes,"To align with IFRS S2, organizations are requested to report the reasons for changes to targets, the target objectives and if the target includes greenhouse gases. Additional guidance for maintenance targets has been added. For SBTi-approved targets, organizations will be requested to attach an official validation letter.",Yes,No,Yes,No
7.53.2,7,Environmental Performance – Climate Change,Targets,Provide details of your emissions intensity targets and progress made against those targets.,No,Climate Change,All sectors,Yes,No,Modified question,C4.1b,n/a,n/a,n/a,n/a,No,Yes,Yes,Yes,"To align with IFRS S2, organizations are requested to report the reasons for changes to targets, the target objectives and if the target includes greenhouse gases. Additional guidance for maintenance targets has been added. For SBTi-approved targets, organizations will be requested to attach an official validation letter.",Yes,No,Yes,No
7.53.3,7,Environmental Performance – Climate Change,Targets,"Explain why you did not have an emissions target, and forecast how your emissions will change over the next five years.",No,Climate Change,All sectors,Yes,No,No change,C4.1c,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,Yes,No
7.53.4,7,Environmental Performance – Climate Change,Targets,Provide details of the climate-related targets for your portfolio.,No,Climate Change,FS,No,No,Modified question,C-FS4.1d,n/a,n/a,n/a,n/a,No,No,No,Yes,Improved disclosure for portfolio targets by addition of new columns and addition of new metrics.,No,No,No,No
7.54,7,Environmental Performance – Climate Change,Targets,Did you have any other climate-related targets that were active in the reporting year?,No,Climate Change,All sectors,Yes,No,Minor change,C4.2,n/a,n/a,n/a,n/a,No,No,No,Yes,To improve clarity for reporting maintenance targets. ,No,No,No,No
7.54.1,7,Environmental Performance – Climate Change,Targets,Provide details of your targets to increase or maintain low-carbon energy consumption or production.,No,Climate Change,All sectors,Yes,No,Modified question,C4.2a,n/a,n/a,n/a,n/a,No,Yes,Yes,Yes,"To align with IFRS S2, organizations are requested to report the reasons for changes to targets and the target objective. Additional guidance for maintenance targets has been added. For SBTi-approved targets, organizations are requested to attach their official validation letter.",Yes,No,Yes,No
7.54.2,7,Environmental Performance – Climate Change,Targets,"Provide details of any other climate-related targets, including methane reduction targets.",No,Climate Change,All sectors,Yes,No,Modified question,C4.2b,n/a,n/a,n/a,n/a,No,Yes,Yes,Yes,"To align with IFRS S2, organizations are requested to report the reasons for changes to targets and the target objective. Additional target types have been added, and additional guidance for reporting for maintenance targets For SBTi-approved targets, the organization's official validation letter is requested.",Yes,No,Yes,No
7.54.3,7,Environmental Performance – Climate Change,Targets,Provide details of your net-zero targets.,No,Climate Change,All sectors,No,No,Modified question,C4.2c,n/a,n/a,n/a,n/a,No,Yes,Yes,No,"To align with IFRS S2, organizations are requested to report the year the target was set, GHGs covered by the target, the target status in the reporting year, and reasons for change to the target. To align with SBTi, organizations are requested to disclose their beyond value chain mitigation (BVCM) activities. Additional guidance has been added on the use of credits and BVCM.  ",Yes,No,No,No
7.54.4,7,Environmental Performance – Climate Change,Targets,"Indicate which targets reported in 7.53.1/7.53.2 incorporate methane emissions, or if you do not have a methane-specific emissions reduction target for your oil and gas activities, please explain why not and forecast how your methane emissions will change over the next five years.",No,Climate Change,OG,No,No,No change,C-OG4.2d,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.54.5,7,Environmental Performance – Climate Change,Targets,"Indicate which targets reported in 7.53.1/7.53.2 incorporate methane emissions, or if you do not have a methane-specific emissions reduction target for your coal mining activities, please explain why not and forecast how your methane emissions will change over the next five years. ",No,Climate Change,CO,No,No,No change,C-CO4.2d,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.55,7,Environmental Performance – Climate Change,Emissions Reduction Initiatives,Did you have emissions reduction initiatives that were active within the reporting year? Note that this can include those in the planning and/or implementation phases.,No,Climate Change,All sectors,Yes,No,No change,C4.3,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.55.1,7,Environmental Performance – Climate Change,Emissions Reduction Initiatives,"Identify the total number of initiatives at each stage of development, and for those in the implementation stages, the estimated CO2e savings.",No,Climate Change,All sectors,Yes,No,No change,C4.3a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.55.2,7,Environmental Performance – Climate Change,Emissions Reduction Initiatives,Provide details on the initiatives implemented in the reporting year in the table below.,No,Climate Change,All sectors,Yes,No,No change,C4.3b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,Yes,No,Yes,No
7.55.3,7,Environmental Performance – Climate Change,Emissions Reduction Initiatives,What methods do you use to drive investment in emissions reduction activities?,No,Climate Change,All sectors,Yes,No,No change,C4.3c,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.55.4,7,Environmental Performance – Climate Change,Emissions Reduction Initiatives,Why did you not have any emissions reduction initiatives active during the reporting year?,No,Climate Change,All sectors,Yes,No,No change,C4.3d,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.56,7,Environmental Performance – Climate Change,Emissions Reduction Initiatives,Describe any planned climate-related projects within your public authority for which you hope to attract financing. ,No,Climate Change,All (except FS),Yes,No,New question,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Yes,Some guidance has been removed that is no longer relevant. ,Yes,No,No,No
7.57,7,Environmental Performance – Climate Change,Emissions Reduction Initiatives,Describe your organization’s efforts to reduce methane emissions from your activities.,No,Climate Change,OG,No,No,No change,C-OG4.6,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.58,7,Environmental Performance – Climate Change,Emissions Reduction Initiatives,Describe your organization’s efforts to reduce methane emissions from your activities.,No,Climate Change,EU,No,No,No change,C-EU4.6,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.59,7,Environmental Performance – Climate Change,Emissions Reduction Initiatives,Describe your organization’s efforts to reduce methane emissions from your activities.,No,Climate Change,CO,No,No,No change,C-CO4.6,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.60,7,Environmental Performance – Climate Change,Emissions Reduction Initiatives,Does your organization conduct leak detection and repair (LDAR) or use other methods to find and fix fugitive methane emissions from coal mining activities?,No,Climate Change,CO,No,No,No change,C-CO4.7,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.60.1,7,Environmental Performance – Climate Change,Emissions Reduction Initiatives,"Describe the protocol through which methane leak detection and repair or other methane leak detection methods are conducted for your coal mining activities, including predominant frequency of inspections, estimates of assets covered, and methodologies employed.",No,Climate Change,CO,No,No,No change,C-CO4.7a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.60.2,7,Environmental Performance – Climate Change,Emissions Reduction Initiatives,Explain why not and whether you plan to conduct methane leak detection and repair or adopt other methods to find and fix fugitive methane emissions from your coal mining activities.,No,Climate Change,CO,No,No,No change,C-CO4.7b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.61,7,Environmental Performance – Climate Change,Emissions Reduction Initiatives,Does your organization conduct leak detection and repair (LDAR) or use other methods to find and fix fugitive methane emissions from oil and gas production activities?,No,Climate Change,OG,No,No,No change,C-OG4.7,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.61.1,7,Environmental Performance – Climate Change,Emissions Reduction Initiatives,"Describe the protocol through which methane leak detection and repair or other leak detection methods, are conducted for oil and gas production activities, including predominant frequency of inspections, estimates of assets covered, and methodologies employed.",No,Climate Change,OG,No,No,No change,C-OG4.7a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.61.2,7,Environmental Performance – Climate Change,Emissions Reduction Initiatives,"Explain why you do not conduct LDAR or use other methods to find and fix fugitive methane emissions, and whether you have a plan to do so from your oil and gas production activities.",No,Climate Change,OG,No,No,No change,C-OG4.7b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.62,7,Environmental Performance – Climate Change,Emissions Reduction Initiatives,"If flaring is relevant to your oil and gas production activities, describe your organization’s efforts to reduce flaring, including any flaring reduction targets.",No,Climate Change,OG,No,No,No change,C-OG4.8,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.63,7,Environmental Performance – Climate Change,Emissions Reduction Initiatives,"If flaring is relevant to your coal mining operations, describe your organization’s efforts to reduce flaring, including any flaring reduction targets.",No,Climate Change,CO,No,No,No change,C-CO4.8,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.64,7,Environmental Performance – Climate Change,Best Available Techniques,Disclose your organization’s best available techniques as a percentage of Portland cement clinker production capacity.,No,Climate Change,CE,No,No,No change,C-CE4.9,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.65,7,Environmental Performance – Climate Change,Best Available Techniques,Disclose your organization’s best available techniques as a percentage of total plant capacity.,No,Climate Change,ST,No,No,No change,C-ST4.9,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.66,7,Environmental Performance – Climate Change,CCS/U,Is your organization involved in the sequestration of CO2?,No,Climate Change,OG,No,No,No change,C-OG9.8,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.66.1,7,Environmental Performance – Climate Change,CCS/U,"Provide, in metric tons CO2, gross masses of CO2 transferred in and out of the reporting organization (as defined by the consolidation basis).",No,Climate Change,OG,No,No,No change,C-OG9.8a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.66.2,7,Environmental Performance – Climate Change,CCS/U,Provide gross masses of CO2 injected and stored for the purposes of CCS during the reporting year according to the injection and storage pathway.,No,Climate Change,OG,No,No,No change,C-OG9.8b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.66.3,7,Environmental Performance – Climate Change,CCS/U,Provide clarification on any other relevant information pertaining to your activities related to transfer and sequestration of CO2.,No,Climate Change,OG,No,No,No change,C-OG9.8c,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.67,7,Environmental Performance – Climate Change,Land Management Practices,Do you implement agriculture or forest management practices on your own land with a climate change mitigation and/or adaptation benefit?,No,Climate Change,"AC, FB, PF",No,No,Revised question dependency,C-AC4.4/C-FB4.4/C-PF4.4,n/a,n/a,n/a,n/a,No,No,No,Yes,Question dependency has been updated to reflect the modified question 1.11.,No,No,No,No
7.67.1,7,Environmental Performance – Climate Change,Land Management Practices,"Specify the agricultural or forest management practice(s) implemented on your own land with climate change mitigation and/or adaptation benefits and provide a corresponding emissions figure, if known.",No,Climate Change,"AC, FB, PF",No,No,No change,C-AC4.4a/C-FB4.4a/C-PF4.4a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.68,7,Environmental Performance – Climate Change,Land Management Practices,Do you encourage your suppliers to undertake any agricultural or forest management practices with climate change mitigation and/or adaptation benefits?,No,Climate Change,"AC, FB, PF",No,No,Revised question dependency,C-AC12.2/C-FB12.2/C-PF12.2,n/a,n/a,n/a,n/a,No,No,No,Yes,Question dependency has been updated to reflect the modified question 1.11.,No,No,No,No
7.68.1,7,Environmental Performance – Climate Change,Land Management Practices,Specify which agricultural or forest management practices with climate change mitigation and/or adaptation benefits you encourage your suppliers to undertake and describe your role in the implementation of each practice.,No,Climate Change,"AC, FB, PF",No,No,No change,C-AC12.2a/C-FB12.2a/C-PF12.2a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.68.2,7,Environmental Performance – Climate Change,Land Management Practices,Do you collect information from your suppliers about the outcomes of any implemented agricultural/forest management practices you have encouraged?,No,Climate Change,"AC, FB, PF",No,No,No change,C-AC12.2b/C-FB12.2b/C-PF12.2b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.68.3,7,Environmental Performance – Climate Change,Land Management Practices,Why do you not encourage your suppliers to undertake any agricultural/forest management practices with climate change mitigation and/or adaptation benefits?,No,Climate Change,"AC, FB, PF",No,No,No change,C-AC12.2c/C-FB12.2c/C-PF12.2c,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.69,7,Environmental Performance – Climate Change,Land Management Practices,Do you know if any of the management practices implemented on your own land disclosed in 7.67.1 have other impacts besides climate change mitigation/adaptation?,No,Climate Change,"AC, FB, PF",No,No,No change,C-AC13.1/C-FB13.1/C-PF13.1,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.69.1,7,Environmental Performance – Climate Change,Land Management Practices,Provide details on those management practices that have other impacts besides climate change mitigation/adaptation and on your management response.,No,Climate Change,"AC, FB, PF",No,No,Modified question,C-AC13.1a/C-FB13.1a/C-PF13.1a,n/a,n/a,n/a,n/a,No,No,No,Yes,Management practices can now only have one overall effect type e.g. just positive. ,No,No,No,No
7.70,7,Environmental Performance – Climate Change,Land Management Practices,Do you know if any of the management practices mentioned in 7.68.1 that were implemented by your suppliers have other impacts besides climate change mitigation/adaptation?,No,Climate Change,"AC, FB, PF",No,No,No change,C-AC13.2/C-FB13.2/C-PF13.2,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.70.1,7,Environmental Performance – Climate Change,Land Management Practices,Provide details of those management practices implemented by your suppliers that have other impacts besides climate change mitigation/adaptation.,No,Climate Change,"AC, FB, PF",No,No,Modified question,"A-AC13.2a/C-FB13.2a/C-PF13.2a, 7.70.1",n/a,n/a,n/a,n/a,No,No,No,Yes,Management practices can now only have one overall effect type e.g. just positive. ,No,No,No,No
7.71,7,Environmental Performance – Climate Change,Life Cycle Emissions Assessment,Does your organization assess the life cycle emissions of any of its products or services?,No,Climate Change,CG,No,No,No change,C-CG6.6,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,#N/A,No
7.71.1,7,Environmental Performance – Climate Change,Life Cycle Emissions Assessment,Provide details of how your organization assesses the life cycle emissions of its products or services.,No,Climate Change,CG,No,No,No change,C-CG6.6a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.72,7,Environmental Performance – Climate Change,Life Cycle Emissions Assessment,Does your organization assess the life cycle emissions of new construction or major renovation projects?,No,Climate Change,"CN, RE",No,No,No change,C-CN6.6/C-RE6.6,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.72.1,7,Environmental Performance – Climate Change,Life Cycle Emissions Assessment,Provide details of how your organization assesses the life cycle emissions of new construction or major renovation projects.,No,Climate Change,"CN, RE",No,No,No change,C-CN6.6a/C-RE6.6a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.72.2,7,Environmental Performance – Climate Change,Life Cycle Emissions Assessment,Can you provide embodied carbon emissions data for any of your organization’s new construction or major renovation projects completed in the last three years?,No,Climate Change,"CN, RE",No,No,No change,C-CN6.6b/C-RE6.6b,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.72.3,7,Environmental Performance – Climate Change,Life Cycle Emissions Assessment,Provide details of the embodied carbon emissions of new construction or major renovation projects completed in the last three years.,No,Climate Change,"CN, RE",No,No,No change,C-CN6.6c/C-RE6.6c,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.73,7,Environmental Performance – Climate Change,Product-level emissions,Are you providing product level data for your organization’s goods or services?,No,Climate Change,All sectors,No,Yes,Modified question,SC4.1,n/a,n/a,n/a,n/a,No,No,No,Yes,This question now provides the option to link to the Product Ecosystem Tool. ,No,No,No,No
7.73.1,7,Environmental Performance – Climate Change,Product-level emissions,"Give the overall percentage of total emissions, for all Scopes, that are covered by these products.",No,Climate Change,All sectors,No,Yes,Revised question dependency,SC4.1a,n/a,n/a,n/a,n/a,No,No,No,Yes,Question dependency has been updated to reflect the modified question 7.73.,No,No,No,No
7.73.2,7,Environmental Performance – Climate Change,Product-level emissions,Complete the following table for the goods/services for which you want to provide data.,No,Climate Change,All sectors,No,Yes,Modified question,SC4.2a,n/a,n/a,n/a,n/a,No,No,No,Yes,This question now allows products to be reported to specific requesting members. ,No,No,No,No
7.73.3,7,Environmental Performance – Climate Change,Product-level emissions,Complete the following table with data for lifecycle stages of your goods and/or services.,No,Climate Change,All sectors,No,Yes,Modified question,SC4.2b,n/a,n/a,n/a,n/a,No,No,No,Yes,This question now allows products to be reported to specific requesting members. ,No,No,No,No
7.73.4,7,Environmental Performance – Climate Change,Product-level emissions,Please detail emissions reduction initiatives completed or planned for this product.,No,Climate Change,All sectors,No,Yes,No change,SC4.2c,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.73.5,7,Environmental Performance – Climate Change,Product-level emissions,Have any of the initiatives described in 7.73.4 been driven by requesting CDP Supply Chain members?,No,Climate Change,All sectors,No,Yes,No change,SC4.2d,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.73.6,7,Environmental Performance – Climate Change,Product-level emissions,Explain which initiatives have been driven by requesting members.,No,Climate Change,All sectors,No,Yes,No change,SC4.2e,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.74,7,Environmental Performance – Climate Change,Low-carbon products and services,Do you classify any of your existing goods and/or services as low-carbon products?,No,Climate Change,All (except FS),No,No,No change,C4.5,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.74.1,7,Environmental Performance – Climate Change,Low-carbon products and services,Provide details of your products and/or services that you classify as low-carbon products.,No,Climate Change,All (except FS),No,No,No change,C4.5a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,Yes,No,No,No
7.75,7,Environmental Performance – Climate Change,Low-carbon products and services,Provide tracking metrics for the implementation of low-carbon transport technology over the reporting year.,No,Climate Change,"TO, TS",No,No,No change,C-TO9.3/C-TS9.3,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.76,7,Environmental Performance – Climate Change,Low-carbon products and services,Does your organization manage net zero carbon buildings?,No,Climate Change,RE,No,No,No change,C-RE9.9,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.76.1,7,Environmental Performance – Climate Change,Low-carbon products and services,Provide details of the net zero carbon buildings under your organization’s management in the reporting year.,No,Climate Change,RE,No,No,No change,C-RE9.9a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.77,7,Environmental Performance – Climate Change,Low-carbon products and services,Did your organization complete new construction or major renovations projects designed as net zero carbon in the last three years?,No,Climate Change,"CN, RE",No,No,No change,C-CN9.10/C-RE9.10,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.77.1,7,Environmental Performance – Climate Change,Low-carbon products and services,Provide details of new construction or major renovations projects completed in the last 3 years that were designed as net zero carbon.,No,Climate Change,"CN, RE",No,No,No change,C-CN9.10a/C-RE9.10a,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.78,7,Environmental Performance – Climate Change,Low-carbon products and services,"Explain your organization’s plan to manage, develop or construct net zero carbon buildings, or explain why you do not plan to do so.",No,Climate Change,"CN, RE",No,No,No change,C-CN9.11/C-RE9.11,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
7.79,7,Environmental Performance – Climate Change,Project-based carbon credits,Has your organization canceled any project-based carbon credits within the reporting year?,No,Climate Change,All sectors,Yes,No,No change,C11.2,n/a,n/a,n/a,n/a,No,No,No,No,No change question,No,No,Yes,No
7.79.1,7,Environmental Performance – Climate Change,Project-based carbon credits,Provide details of the project-based carbon credits canceled by your organization in the reporting year.,No,Climate Change,All sectors,Yes,No,Modified question,C11.2a,n/a,n/a,n/a,n/a,No,No,Yes,No,Guidance has been added in line with SBTi's latest Beyond Value Chain Mitigation Guidance. ,Yes,No,Yes,No
8.1,8,Environmental Performance – Forests,Exclusions,Are there any exclusions from your disclosure of forests-related data? ,No,Forests,All (except FS),No,No,n/a,n/a,Modified question,F0.7,n/a,n/a,No,No,No,Yes,Restructured to facilitate scoring,No,No,No,Yes
8.1.1,8,Environmental Performance – Forests,Exclusions,Provide details on these exclusions. ,No,Forests,All (except FS),No,No,n/a,n/a,Modified question,"F0.7a, F1.5e",n/a,n/a,No,No,No,Yes,Updated to improve reporting clarity and rationale on exclusions of forests-related data from disclosure.,No,No,No,Yes
8.2,8,Environmental Performance – Forests,Commodity Volume Data,Provide a breakdown of your disclosure volume per commodity.,No,Forests,All (except FS),No,No,n/a,n/a,New question,n/a,n/a,n/a,No,No,No,Yes,New question to enable transparency and contextualization on the commodity volumes included in the organization's disclosure to the forests performance module.,No,No,No,Yes
8.2.1,8,Environmental Performance – Forests,Commodity Volume Data,Provide details on any soy embedded in animal products sourced by your organization.,No,Forests,All (except FS),No,No,n/a,n/a,New question,n/a,n/a,n/a,No,No,No,Yes,New question to allow organizations to show awareness of their embedded soy exposure as well as their actions to progress towards better visibility of embedded soy origin and associated deforestation and conversion risk.  Also allows data users to see how embedded soy affects their CDP response on key metrics e.g. DCF status. ,No,No,No,Yes
8.3,8,Environmental Performance – Forests,Own land usage and location (production volumes),"Provide details on the land you own, manage and/or control that is used to produce your disclosed commodities.",No,Forests,All (except FS),No,No,n/a,n/a,Modified question,F1.3,n/a,n/a,No,No,Yes,Yes,Updated to increase alignment with AFi and streamline question.,No,Yes,No,Yes
8.4,8,Environmental Performance – Forests,Own land usage and location (production volumes),"Indicate if any of the land you own, manage and/or control was not used to produce your disclosed commodities in the reporting year.",No,Forests,All (except FS),No,No,n/a,n/a,New question,n/a,n/a,n/a,No,No,No,Yes,Restructured to avoid contradictory data being reported.,No,No,No,Yes
8.4.1,8,Environmental Performance – Forests,Own land usage and location (production volumes),"Provide details on the land you own, manage and/or control that was not used to produce your disclosed commodities in the reporting year. ",No,Forests,All (except FS),No,No,n/a,n/a,Modified question,F1.4,n/a,n/a,No,No,Yes,Yes,Updated to improve and streamline response options and increase alignment with AFi.,No,Yes,No,Yes
8.5,8,Environmental Performance – Forests,Commodity sourcing locations (consumption volumes),Provide details on the origins of your sourced volumes.,No,Forests,All (except FS),No,No,n/a,n/a,Modified question,"F1.5c, F2.2a, F1.1",n/a,n/a,No,No,Yes,Yes,"Updated to improve clarity on the country and first level of administrative division of sourced commodity volumes whilst reducing reporting burden. Also, to increase alignment with AFi. ",No,No,No,Yes
8.6,8,Environmental Performance – Forests,Biofuels,Does your organization produce or source palm oil derived biofuel?,No,Forests,All (except FS),No,No,n/a,n/a,Modified question,F1.5f,n/a,n/a,No,No,No,Yes,Restructured to avoid contradictory data being reported.,No,No,No,Yes
8.6.1,8,Environmental Performance – Forests,Biofuels,Provide details of how your organization produces or sources palm oil derived biofuel.,No,Forests,All (except FS),No,No,n/a,n/a,Modified question,F1.5f,n/a,n/a,No,No,No,Yes,Updated to improve clarity on volume reporting and origin.,No,No,No,Yes
8.7,8,Environmental Performance – Forests,Targets,"Did your organization have a no-deforestation or no-conversion target, or any other targets for sustainable production/ sourcing of your disclosed commodities, active in the reporting year?",No,Forests,All (except FS),No,No,n/a,n/a,Modified question,"F4.6b, F6.1, F6.1b",n/a,n/a,No,No,No,Yes,Datapoints from removed commitments question are requested under targets to streamline questionnaire.,No,Yes,No,Yes
8.7.1,8,Environmental Performance – Forests,Targets,Provide details on your no-deforestation or no-conversion target that was active during the reporting year.,No,Forests,All (except FS),No,No,n/a,n/a,Modified question,"F4.6b, F6.1",n/a,n/a,No,No,No,Yes,Datapoints from removed commitments question are requested under targets to streamline questionnaire.,No,Yes,No,Yes
8.7.2,8,Environmental Performance – Forests,Targets,"Provide details of other targets related to your commodities, including any which contribute to your no-deforestation or no-conversion target, and progress made against them.",No,Forests,All (except FS),No,No,n/a,n/a,Modified question,F6.1a,n/a,n/a,No,No,No,Yes,Updated to capture how other forests-related targets contribute to an organization's no-deforestation or no-conversion target.,No,Yes,No,Yes
8.8,8,Environmental Performance – Forests,Traceability,Indicate if your organization has a traceability system to determine the origins of your sourced volumes and provide details of the methods and tools used.,No,Forests,All (except FS),No,No,n/a,n/a,Modified question,"F6.2, F6.2b",n/a,n/a,No,No,Yes,Yes,Updated to provide clearer reporting and reduce reporting burden.  ,No,No,No,Yes
8.8.1,8,Environmental Performance – Forests,Traceability,Provide details of the point to which your organization can trace its sourced volumes.,No,Forests,All (except FS),No,No,n/a,n/a,Modified question,F6.2a,n/a,n/a,No,No,Yes,Yes,"Updated to reduce reporting burden and repetitive data points, increase alignment with AFi Common Methodology metrics and increase comparability and ability to cross-check against data in other questions.",No,No,No,Yes
8.9,8,Environmental Performance – Forests,Deforestation- and conversion-free (DCF) status metrics and methods to determine DCF,Provide details of your organization's assessment of the deforestation-free (DF) or deforestation- and conversion-free (DCF) status of its disclosed commodities.,No,Forests,All (except FS),No,No,n/a,n/a,Modified question,"F1.5a, F1.5b",n/a,n/a,No,No,Yes,Yes,"Updated question to provide clearer organization journey on DCF disclosure, improve data and scoring. Increase alignment with AFi.",No,No,No,Yes
8.9.1,8,Environmental Performance – Forests,Deforestation- and conversion-free (DCF) status metrics and methods to determine DCF,"Provide details of third-party certification schemes used to determine the deforestation-free (DF) or deforestation- and conversion-free (DCF) status of the disclosure volume, since specified cutoff date.",No,Forests,All (except FS),No,No,n/a,n/a,Modified question,"F6.3, F6.3a",n/a,n/a,No,No,Yes,Yes,"Updated to align with AFi. Works as a child question to 8.9, and in parallel with 8.9.2, 8.9.3, and 8.9.4.",No,Yes,No,Yes
8.9.2,8,Environmental Performance – Forests,Deforestation- and conversion-free (DCF) status metrics and methods to determine DCF,Provide details of third-party certification schemes not providing full DF/DCF assurance.,No,Forests,All (except FS),No,No,n/a,n/a,Modified question,"F6.3, F6.3a",n/a,n/a,No,No,Yes,Yes,"Updated to align with AFi. Works as a child question to 8.9, and in parallel with 8.9.1, 8.9.3, and 8.9.4.",No,Yes,No,Yes
8.9.3,8,Environmental Performance – Forests,Deforestation- and conversion-free (DCF) status metrics and methods to determine DCF,Provide details of production unit monitoring used to determine deforestation free (DF) or deforestation and conversion free (DCF) status of volumes since specified cutoff date.,No,Forests,All (except FS),No,No,n/a,n/a,Modified question,F6.4a,n/a,n/a,No,No,Yes,Yes,"Updated to align with AFi. Works as a child question to 8.9, and in parallel with 8.9.1, 8.9.2, and 8.9.4.",No,No,No,Yes
8.9.4,8,Environmental Performance – Forests,Deforestation- and conversion-free (DCF) status metrics and methods to determine DCF,Provide details of the sourcing area monitoring used to determine deforestation-free (DF) or deforestation- and conversion-free (DCF) status of volumes since specified cutoff date.     ,No,Forests,All (except FS),No,No,n/a,n/a,Modified question,F2.3,n/a,n/a,No,No,Yes,Yes,"Updated to align with AFi. Works as a child question to 8.9, and in parallel with 8.9.1, 8.9.2, and 8.9.3.",No,No,No,Yes
